Detector Name,Descriptor Name,camera-based estimated TTC(s)
ORB,BRIEF, -39.5768
ORB,BRIEF, 97.6542
ORB,BRIEF, 10.1054
ORB,BRIEF, 12.0651
ORB,BRIEF, 72.5014
ORB,BRIEF, 18.191
ORB,BRIEF, 35.422
,,
ORB,ORB, -19.1814
ORB,ORB, 18.6034
ORB,ORB, -inf
ORB,ORB, -inf
ORB,ORB, -inf
ORB,ORB, 92.2032
ORB,ORB, 16.5732
ORB,ORB, 4.52164
ORB,ORB, -inf
ORB,ORB, 5.02241
ORB,ORB, 22.4936
ORB,ORB, -inf
ORB,ORB, -inf
ORB,ORB, -0.21663
ORB,ORB, 7.29163
ORB,ORB, -inf
ORB,ORB, -0.261049
ORB,ORB, -inf
,,
ORB,FREAK, 5.7153
ORB,FREAK, -inf
ORB,FREAK, 10.4991
ORB,FREAK, nan
ORB,FREAK, 524.243
ORB,FREAK, -2.77158
ORB,FREAK, -inf
ORB,FREAK, 10.4478
ORB,FREAK, -inf
ORB,FREAK, -26.2917
ORB,FREAK, nan
ORB,FREAK, -inf
ORB,FREAK, 6.84119
ORB,FREAK, -inf
ORB,FREAK, nan
ORB,FREAK, nan
ORB,FREAK, -98.0003
ORB,FREAK, nan
,,
ORB,SIFT, -0.387813
ORB,SIFT, 11.188
ORB,SIFT, 7.00583
ORB,SIFT, 9.30595
ORB,SIFT, -0.274814
ORB,SIFT, nan
ORB,SIFT, 20.3099
ORB,SIFT, 0.0296145
ORB,SIFT, -inf
ORB,SIFT, -inf
ORB,SIFT, -inf
ORB,SIFT, 23.7086
ORB,SIFT, nan
ORB,SIFT, 3.09206
ORB,SIFT, 22.2503
ORB,SIFT, -inf
ORB,SIFT, 11.0333
ORB,SIFT, -14.4418
,,
AKAZE,BRISK, 13.3699
AKAZE,BRISK, 14.816
AKAZE,BRISK, 15.366
AKAZE,BRISK, 14.404
AKAZE,BRISK, 13.5191
AKAZE,BRISK, 16.2475
AKAZE,BRISK, 20.6583
AKAZE,BRISK, -0.211476
AKAZE,BRISK, 25.2705
AKAZE,BRISK, 9.68275
AKAZE,BRISK, -0.268187
AKAZE,BRISK, 21.7825
AKAZE,BRISK, -0.388072
AKAZE,BRISK, -0.25738
AKAZE,BRISK, -43.5175
AKAZE,BRISK, 11.8923
AKAZE,BRISK, 11.0275
AKAZE,BRISK, 8.57569
,,
AKAZE,BRIEF, 13.6847
AKAZE,BRIEF, -0.324042
AKAZE,BRIEF, nan
AKAZE,BRIEF, 22.6108
AKAZE,BRIEF, 18.2201
AKAZE,BRIEF, nan
AKAZE,BRIEF, 19.8098
AKAZE,BRIEF, 17.5658
AKAZE,BRIEF, 19.9374
AKAZE,BRIEF, -0.19676
AKAZE,BRIEF, 16.9815
AKAZE,BRIEF, 22.7263
AKAZE,BRIEF, 23.1412
